subject,es,stat,pval
E1,-0.7175610359560035,0.3146813278356957,4.5138621320298945e-12
E1,-0.7389167887221749,0.34660997224083906,3.9965021213681105e-13
E1,-0.23361958919433215,0.10729485662262242,3.763794944473224e-05
E1,-0.8431911275205528,0.3587134166020249,1.595917748384791e-13
E1,-1.053281260516657,0.414661910176106,2.3059194850922087e-15
E1,-0.8034916639391788,0.3046600052043128,9.6694383229837e-12
E1,0.3233391912245388,0.262198782087739,2.4532208050533285e-10
E1,-0.7761400388873378,0.38815690392572505,1.7143095337499423e-14
E1,0.6548904602428575,0.26519043070927634,1.9527482657695775e-10
E1,-1.146834048438133,0.45259548107299574,1.3101462912126527e-16
E1,-0.6565737645302852,0.30174139321006926,1.2072508096126137e-11
E1,-0.9064364116639874,0.29083368065365645,2.7683473788615536e-11
E1,-0.05605369194737466,0.16648606202680827,3.7743032337180974e-07
E1,-0.06366304304851371,0.16204935975686288,5.316757272069341e-07
E1,-1.2366020181623698,0.4638636625880684,5.592648309312459e-17
E1,0.025531999571393613,0.39135035606231705,1.346080243581476e-14
E1,-0.10976710476722075,0.11336975832531794,2.3379030578906365e-05
E1,-0.06821171853623947,0.1508223677257039,1.2670992030667228e-06
E1,-0.36758660621027295,0.33959442193585854,6.805652750017718e-13
E1,-0.744612468059938,0.42144880339755386,1.3800246819794394e-15
E1,-0.4318404562283729,0.2195016089157312,6.411124284790635e-09
E1,0.09509003092335094,0.09241223928939654,0.00012148954741366888
E1,-0.12027326019972423,0.18690634230944078,7.824447055245857e-08
E1,-0.4906119295052697,0.1957776049389539,3.956084226866026e-08
E1,-0.9379598359946937,0.3217314827756966,2.64183809424583e-12
E1,-0.7157248210202871,0.29953823258083295,1.4274984397164357e-11
E1,-1.0446904349102066,0.47045392824907833,3.399773082621293e-17
E1,-1.3180942607622548,0.4534412118497127,1.2290446124252305e-16
E1,-0.4998211190588452,0.37240380299681186,5.6537596282069064e-14
E1,-1.081125145383466,0.38418359122835655,2.3161799241388803e-14
E1,-0.7839351142191051,0.4108629744524162,3.073736610196754e-15
E1,-0.30351566225593013,0.10941715451258674,3.186571674421661e-05
