desc,es,stat,pval
successful,0.8625199305372035,0.2885878676661353,2.7815437199086196e-07
successful,0.7444075782074906,0.26831370675488203,7.012809152354997e-07
successful,0.738947985620167,0.19269454044822729,2.2593773349844343e-05
successful,0.5385008138742129,0.12106744727530845,0.0006406685918830584
successful,1.0181968431495718,0.3534739111251056,1.4600798985874548e-08
successful,1.139919632165762,0.4094970494238362,1.1598368542998656e-09
successful,0.9229894702789089,0.3422519123590105,2.4278826468872814e-08
successful,0.935901564496383,0.3273514859793492,4.772826851237476e-08
successful,0.7514366055393042,0.22147000556765858,5.996364173337049e-06
successful,0.7349256657702007,0.2954819587652721,2.0320170023831605e-07
successful,0.8747286013722528,0.3266576795946135,4.92553040552729e-08
successful,0.9739434732614913,0.36114055588674027,1.0318162248471631e-08
successful,0.6514463571788801,0.2110147342696035,9.701584406478926e-06
successful,0.8824584605558308,0.29492123516491153,2.0845592612396538e-07
successful,0.6365283516914864,0.17822209564406052,4.41624165140952e-05
successful,0.5852850734016749,0.2213556188613706,6.02798278162448e-06
successful,1.0015224203266553,0.3653509211127582,8.527772549844655e-09
successful,0.8558542483577373,0.2557285408618881,1.246471051360109e-06
successful,0.6805891839619577,0.20012694328202119,1.6027859537253748e-05
successful,0.6699721096444324,0.25452641318574587,1.3169320136918233e-06
successful,0.9101760611226585,0.2720754557576541,5.906156740295637e-07
successful,0.7051019032531993,0.2810672797791919,3.9187836940151384e-07
successful,0.780719632714288,0.2412154408450317,2.4224840605465957e-06
successful,0.9925306170728843,0.341898854580168,2.4670562479794735e-08
successful,0.9398842081168207,0.2911280290574759,2.477606883571355e-07
successful,1.029421721689805,0.3475768502789583,1.907252519732981e-08
successful,0.6008869153767983,0.3025324816009102,1.4742622631716996e-07
successful,0.6772635138396415,0.22980593610009256,4.088455136494375e-06
successful,0.8934388788913773,0.264911648818814,8.191750745709154e-07
successful,0.848824262443101,0.3417286332598642,2.486168794461493e-08
successful,0.8048678577147333,0.26082976495258414,9.871535791464106e-07
successful,0.7297047362051989,0.24262597704514907,2.2708460338392444e-06
successful,0.8395705313535906,0.22941544287305538,4.162418614021602e-06
successful,0.7567241884661927,0.26050268479485683,1.0020230123572907e-06
successful,0.914284028072163,0.3191089290351648,6.939343564789741e-08
successful,0.8573054764172248,0.2894623468477684,2.6729080779492774e-07
successful,0.8722233179873854,0.30682812377284563,1.212606150124513e-07
successful,0.7383420601527894,0.25265180557844436,1.4348666110158329e-06
successful,1.0610494633723517,0.3665867702638814,8.063918458072623e-09
successful,0.8445601914163826,0.4006520542731705,1.7290394482753939e-09
successful,0.773947885256676,0.2532480672615566,1.3962489989528112e-06
successful,0.8289210704628359,0.2631101568723089,8.894540147015984e-07
successful,0.8694034806793919,0.3171765086122022,7.576049043320786e-08
successful,0.5794194079036796,0.4033347580796397,1.531794471227647e-09
successful,0.7570249575673692,0.3003742732828347,1.626375959080603e-07
successful,0.7494437336712253,0.28496195565674665,3.2812794899049733e-07
successful,0.9332788958604126,0.3006486644691197,1.6061957339987118e-07
successful,0.6810248913724485,0.24139861403377175,2.4022322300342094e-06
successful,0.6451349923337314,0.29045852985913523,2.554325112953046e-07
